Remote Last Name,Remote ID,Proxy Last Name,Proxy ID,Date Assigned,Date Revoked
Axne,412772,Raskin,412708,06/24/2020,06/29/2020
Axne,412772,Raskin,412708,07/20/2020,07/20/2020
Axne,412772,Raskin,412708,08/20/2020,09/14/2020
Barragan,412687,Gallego,412612,05/26/2020,06/24/2020
Barragan,412687,Gallego,412612,07/24/2020,07/28/2020
Barragan,412687,Beyer,412657,08/06/2020,09/22/2020
Barragan,412687,Beyer,412657,09/29/2020,09/30/2020
Barragan,412687,Beyer,412657,10/02/2020,
Bass,412404,Cicilline,412470,05/26/2020,06/25/2020
Beatty,412565,Bass,412404,06/26/2020,07/28/2020
Beatty,412565,Lawrence,412638,09/30/2020,11/16/2020
Beatty,412565,Fudge,412327,11/18/2020,
Bera,412512,Aguilar,412615,05/26/2020,06/23/2020
Bera,412512,Aguilar,412615,08/19/2020,09/14/2020
Bishop,400030,Fudge,412327,09/24/2020,09/29/2020
Bluemenauer,400033,Beyer,412657,05/27/2020,06/25/2020
Bluemenauer,400033,Beyer,412657,07/18/2020,07/28/2020
Bluemenauer,400033,Beyer,412657,08/21/2020,09/22/2020
Bluemenauer,400033,Beyer,412657,11/16/2020,
Bonamici,412501,Raskin,412708,05/26/2020,06/22/2020
Bonamici,412501,Raskin,412708,08/19/2020,09/14/2020
Bonamici,412501,Clark,412600,11/16/2020,
Boyle,412652,Lamb,412744,07/26/2020,07/29/2020
Boyle,412652,Jeffries,412561,11/16/2020,
Brownley,412516,Kuster,412557,05/26/2020,06/22/2020
Brownley,412516,Clark,412600,08/21/2020,09/11/2020
Brownley,412516,Clark,412600,11/16/2020,
Bustos,412537,Kuster,412557,11/16/2020,
Butterfield,400616,Kildee,412546,09/11/2020,09/21/2020
Butterfield,400616,Kildee,412546,09/28/2020,11/16/2020
Cardenas,412517,Sanchez,400355,05/26/2020,06/25/2020
Cardenas,412517,Gomez,412739,06/25/2020,07/20/2020
Cardenas,412517,Sanchez,400355,07/20/2020,07/22/2020
Cardenas,412517,Gomez,412739,08/22/2020,09/14/2020
Carson,412258,Clay,400074,06/23/2020,06/25/2020
Carson,412258,Cleaver,400639,11/16/2020,
Case,400069,Cartwright,412571,07/19/2020,07/28/2020
Case,400069,Cartwright,412571,08/22/2020,09/14/2020
Case,400069,Cartwright,412571,10/05/2020,11/16/2020
Castro,412576,Escobar,412825,07/26/2020,07/29/2020
Castro,412576,Garcia,412774,11/16/2020,
Chu,412379,Takano,412520,05/26/2020,06/24/2020
Chu,412379,Takano,412520,09/14/2020,11/16/2020
Cisneros,412757,Houlahan,412810,05/22/2020,06/25/2020
Clay,400074,Grijalva,400162,07/15/2020,07/27/2020
Clay,400074,Grijalva,400162,07/28/2020,07/29/2020
Clay,400074,Davids,412780,07/29/2020,09/22/2020
Clay,400074,Cleaver,400639,11/13/2020,
Cleaver,400639,Clay,400074,06/26/2020,07/22/2020
Cleaver,400639,Davids,412780,07/23/2020,08/23/2020
Cohen,412236,Beyer,412657,05/22/2020,06/25/2020
Cohen,412236,Beyer,412657,06/29/2020,06/30/2020
Cohen,412236,Beyer,412657,09/14/2020,09/22/2020
Cohen,412236,Beyer,412657,09/29/2020,10/01/2020
Cohen,412236,Beyer,412657,11/16/2020,
Costa,400618,Cuellar,400657,05/27/2020,05/28/2020
Costa,400618,Cooper,400081,08/22/2020,09/14/2020
Costa,400618,Cooper,400081,11/16/2020,
Courtney,412193,Hayes,412763,11/18/2020,
Cox,412755,Carbajal,412686,07/31/2020,08/17/2020
Crist,412697,Murphy,412694,05/27/2020,06/22/2020
Davis,400097,Wild,412751,05/26/2020,06/25/2020
Davis,400097,Wild,412751,08/20/2020,09/22/2020
Davis,400093,Underwood,412776,09/14/2020,09/22/2020
Dean,412809,Scanlon,412750,06/29/2020,06/29/2020
DeFazio,400100,Bonamici,412501,07/20/2020,07/28/2020
DeGette,400101,Rochester,412689,08/21/2020,09/14/2020
DeGette,400101,Rochester,412689,10/01/2020,11/16/2020
DeGette,400101,McCollum,400259,11/16/2020,
DelBene,412505,Heck,412584,08/18/2020,09/14/2020
Demings,412696,Castor,412195,10/01/2020,11/16/2020
DeSaulnier,412613,Matsui,400663,05/26/2020,
Deutch,412385,Rice,412647,05/22/2020,06/29/2020
Deutch,412385,Rice,412647,07/16/2020,07/29/2020
Doggett,400111,Raskin,412708,05/26/2020,06/25/2020
Doggett,400111,Raskin,412708,08/21/2020,09/14/2020
Doggett,400111,Raskin,412708,11/16/2020,
Doyle,400114,Boyle,412652,07/23/2020,07/27/2020
Doyle,400114,Cartwright,412571,07/27/2020,07/29/2020
Engel,400122,Nadler,400289,06/24/2020,06/25/2020
Engel,400122,Titus,412318,06/25/2020,07/28/2020
Engel,400122,Pallone,400308,08/21/2020,09/14/2020
Engel,400122,Pallone,400308,09/22/2020,09/23/2020
Escobar,412825,Garcia,412827,05/26/2020,06/22/2020
Escobar,412825,Garcia,412827,08/20/2020,09/10/2020
Escobar,412825,Garcia,412827,11/16/2020,
Eshoo,400124,Thompson,400403,05/27/2020,06/25/2020
Evans,412677,Brown,412707,11/16/2020,
Foster,412257,Beyer,412657,05/22/2020,06/24/2020
Foster,412257,Beyer,412657,08/18/2020,09/11/2020
Frankel,412529,Kuster,412557,05/22/2020,06/26/2020
Frankel,412529,Clark,412600,06/26/2020,
Fudge,412327,Bass,412404,09/30/2020,11/16/2020
Gallego,412612,Stanton,412753,10/01/2020,11/16/2020
Garamendi,412382,Sherman,400371,05/26/2020,06/22/2020
Garamendi,412382,Boyle,412652,06/22/2020,07/26/2020
Garamendi,412382,Boyle,412652,07/20/2020,07/27/2020
Garamendi,412382,Sherman,400371,07/27/2020,09/14/2020
Garamendi,412382,Sherman,400371,09/24/2020,
Garcia,412774,Raskin,412708,09/14/2020,09/15/2020
Gomez,412739,Gallego,412612,07/20/2020,07/27/2020
Gonzalez,412725,Cuellar,400657,05/22/2020,06/23/2020
Gonzalez,412725,Gomez,412739,08/21/2020,09/14/2020
Gonzalez,412725,Gomez,412739,11/13/2020,
Gottheimer,412714,Sires,412186,09/30/2020,09/30/2020
Grijalva,400162,Clay,400074,05/26/2020,06/25/2020
Grijalva,400162,Garcia,412774,07/29/2020,09/14/2020
Grijalva,400162,Raskin,412708,09/14/2020,09/22/2020
Grijalva,400162,Garcia,412774,09/22/2020,
Harder,412754,Haaland,412800,05/26/2020,06/25/2020
Hastings,400170,Shultz,400623,05/27/2020,06/25/2020
Hastings,400170,Shultz,400623,06/29/2020,07/20/2020
Hastings,400170,Shultz,400623,07/23/2020,07/27/2020
Hastings,400170,Shultz,400623,07/27/2020,
Hayes,412763,Courtney,412193,09/21/2020,11/16/2020
Heck,412584,Kilmer,412583,05/26/2020,06/22/2020
Higgins,400641,Sanchez,400355,07/27/2020,07/29/2020
Higgins,400641,Sanchez,400355,11/16/2020,
Himes,412282,Hayes,412763,07/23/2020,07/28/2020
Horsford,412559,Kildee,412546,05/27/2020,06/25/2020
Horsford,412559,Kildee,412546,07/20/2020,09/14/2020
Horsford,412559,Kildee,412546,09/22/2020,09/22/2020
Houlahan,412810,Sherrill,412799,07/20/2020,07/20/2020
